Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Release Date,Directors,Your Rating,Date Rated
tt31049299,2024-04-27,2024-04-27,,Animals,Animals,https://www.imdb.com/title/tt31049299/,Movie,,,,Thriller,,Ben Affleck,,
tt23172090,2024-04-29,2024-04-29,,Dust Bunny,Dust Bunny,https://www.imdb.com/title/tt23172090/,Movie,6.7,106,2025,"Drama, Horror, Thriller",2025-12-12,Bryan Fuller,,
tt32133209,2024-05-06,2024-05-06,,It Doesn't Matter,It Doesn't Matter,https://www.imdb.com/title/tt32133209/,Movie,6.5,86,2024,Drama,2024-05-16,Josh Mond,,
tt1341338,2024-05-08,2024-05-08,,"Good Luck, Have Fun, Don't Die","Good Luck, Have Fun, Don't Die",https://www.imdb.com/title/tt1341338/,Movie,7.4,100,2025,"Animation, Action, Adventure, Drama, Sci-Fi",2026-01-30,Gore Verbinski,,
tt13650700,2024-05-10,2024-05-10,,A Big Bold Beautiful Journey,A Big Bold Beautiful Journey,https://www.imdb.com/title/tt13650700/,Movie,6.2,109,2025,"Drama, Fantasy, Romance",2025-09-19,Kogonada,,
tt31189315,2024-05-17,2024-05-17,,Father Mother Sister Brother,Father Mother Sister Brother,https://www.imdb.com/title/tt31189315/,Movie,6.5,110,2025,"Comedy, Drama",2025-12-24,Jim Jarmusch,,
tt26341409,2024-05-17,2024-05-17,,Visitation,Visitation,https://www.imdb.com/title/tt26341409/,Movie,,,,Horror,,Nicolas Pesce,,
tt14200438,2024-05-20,2024-05-20,,Unfinished Red,Rothko,https://www.imdb.com/title/tt14200438/,Movie,,,,"Biography, Drama",,Reed Morano,,
tt6341826,2024-05-22,2024-05-22,,In the Blink of an Eye,In the Blink of an Eye,https://www.imdb.com/title/tt6341826/,Movie,,,,"Drama, Sci-Fi",,Andrew Stanton,,
tt18270542,2024-05-22,2024-05-22,,Ray Gunn,Ray Gunn,https://www.imdb.com/title/tt18270542/,Movie,,,,"Animation, Family, Sci-Fi",,Brad Bird,,
